subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
1ebbSRddusMUfuZicVGxXhkbI,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,7/1/2019,10:43,right,1,2803.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,7/1/2019,10:43,left,1,1352.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,3,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,7/1/2019,10:43,right,0,1411.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,4,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,7/1/2019,10:43,left,1,4695.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,5,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,7/1/2019,10:43,left,0,6938.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,6,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,right,left,pretest,7/1/2019,10:43,left,0,8433.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,7,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,right,left,pretest_filler,7/1/2019,10:43,left,0,2821.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,8,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,left,right,pretest_filler,7/1/2019,10:43,left,1,4967.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,9,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,left,right,pretest,7/1/2019,10:43,right,0,31861.104,1,20/02/15,English,,,male,Pre,PO,NonPred
1ebbSRddusMUfuZicVGxXhkbI,10,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,right,left,pretest,7/1/2019,10:43,left,0,2207.104,1,20/02/15,English,,,male,Pre,PO,NonPred
