subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
2hYJmUF5jJEGGI7LxAbvsImqO,1,4fillerpost2,The_prince_will_move_the_blanket_to_the_sofa,Can_you_move_the_blanket_to_the_sofa?,right,left,posttest_filler,6/28/2019,10:10,right,1,2142.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,2,3fillerpost2,Dora_the_explorer_will_put_the_food_in_the_basket,Can_you_put_the_food_in_the_basket?,left,right,posttest_filler,6/28/2019,10:10,left,1,2711.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,3,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,right,left,pretest,6/28/2019,10:10,right,1,3590.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,4,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,right,left,pretest,6/28/2019,10:10,right,1,3109.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,5,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,6/28/2019,10:10,right,1,2313.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,6,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,6/28/2019,10:10,right,0,3498.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,7,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,left,right,pretest_filler,6/28/2019,10:10,left,1,2557.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,8,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,left,right,pretest_filler,6/28/2019,10:10,left,1,6392.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,9,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,right,left,pretest,6/28/2019,10:10,right,1,4182.135,1,31/01/2015,English,,,male,Post,PO,NonPred
2hYJmUF5jJEGGI7LxAbvsImqO,10,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,left,right,pretest,6/28/2019,10:10,right,0,7656.135,1,31/01/2015,English,,,male,Post,PO,NonPred
