subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
IH45juG3hcxSu3Lbax7Km1Erd,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,7/28/2022,15:36,right,1,2398.1039999999994,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,7/28/2022,15:36,left,1,1847.1039999999994,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,3,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,left,right,pretest,7/28/2022,15:36,right,0,6125.103999999999,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,4,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,right,left,pretest_filler,7/28/2022,15:36,left,0,10353.104,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,5,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,right,left,pretest_filler,7/28/2022,15:36,right,1,3441.1039999999994,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,6,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,right,left,pretest,7/28/2022,15:36,left,0,1888.1039999999994,2,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,7,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,7/28/2022,15:36,left,1,2876.1039999999994,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,8,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,left,right,pretest,7/28/2022,15:36,right,0,7245.103999999999,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,9,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,left,right,pretest,7/28/2022,15:36,right,0,1078.1039999999994,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
IH45juG3hcxSu3Lbax7Km1Erd,10,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,right,left,pretest,7/28/2022,15:36,left,0,1593.1039999999994,1,2018-07-18,English ,Na,Na,male,Pre,DO,Pred
