subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
N6YbafrdqX3jsdevpEjex6QE9,1,4fillerpost2,The_prince_will_move_the_blanket_to_the_sofa,Can_you_move_the_blanket_to_the_sofa?,right,left,posttest_filler,11/19/2019,17:00,right,1,3382.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,2,3fillerpost2,Dora_the_explorer_will_put_the_food_in_the_basket,Can_you_put_the_food_in_the_basket?,left,right,posttest_filler,11/19/2019,17:00,left,1,2407.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,3,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,right,left,pretest,11/19/2019,17:00,right,1,3439.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,4,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,right,left,pretest,11/19/2019,17:00,left,0,2244.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,5,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,11/19/2019,17:00,left,1,1682.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,6,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,11/19/2019,17:00,right,1,2593.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,7,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,left,right,pretest,11/19/2019,17:00,left,1,1005.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,8,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,right,left,pretest_filler,11/19/2019,17:00,right,1,4169.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,9,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,11/19/2019,17:00,right,0,4681.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,10,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,left,right,pretest_filler,11/19/2019,17:00,left,1,2243.135,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
