subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
N6YbafrdqX3jsdevpEjex6QE9,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,11/19/2019,17:00,right,1,5466.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,11/19/2019,17:00,left,1,1981.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,3,4Post2,The_princess_will_send_the_lion_a_crocodile,Can_you_send_the_lion_the_crocodile?,left,right,posttest,11/19/2019,17:00,right,0,5183.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,4,6post2,Dora_the_explorer_will_throw_the_puppy_a_hamster,Can_you_throw_puppy_the_hamster?,left,right,posttest,11/19/2019,17:00,left,1,33278.104,2,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,5,1fillerpost2,The_princess_will_tickle_the_teddy_bear_with_the_feather,Can_you_tickle_the_teddy_bear_with_the_feather?,right,left,posttest_filler,11/19/2019,17:00,right,1,5154.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,6,2fillerpost2,Boots_will_clean_the_chair_with_the_sponge,Can_you_clean_the_chair_with_the_sponge?,left,right,posttest_filler,11/19/2019,17:00,left,1,1798.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,7,3post2,Boots_will_throw_the_giraffe_a_balloon,Can_you_throw_the_giraffe_the_balloon?,right,left,posttest,11/19/2019,17:00,left,0,2615.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,8,5post2,The_prince_will_bring_the_turtle_a_cat,Can_you_bring_the_turtle_the_cat?,right,left,posttest,11/19/2019,17:00,left,0,1745.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,9,2post2,The_girl_will_bring_the_horse_an_ice_cream,Can_you_bring_the_horse_the_ice_cream?,left,right,posttest,11/19/2019,17:00,right,0,3002.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
N6YbafrdqX3jsdevpEjex6QE9,10,1Post2,The_boy_will_send_the_tiger_a_present,Can_you_send_the_tiger_the_present?,right,left,posttest,11/19/2019,17:00,right,1,3061.104,1,2015-08-11,English,Welsh,,female,Post,DO,NonPred
