subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
PnCnWQzKPxQeSD1QGec5OAPEt,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,6/17/2019,09:53,right,1,3456.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,6/17/2019,09:53,left,1,1833.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,3,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,left,right,pretest,6/17/2019,09:53,left,1,2873.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,4,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,right,left,pretest_filler,6/17/2019,09:53,right,1,2312.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,5,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,left,right,pretest_filler,6/17/2019,09:53,left,1,7943.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,6,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,right,left,pretest,6/17/2019,09:53,left,0,1127.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,7,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,6/17/2019,09:53,right,0,2113.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,8,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,left,right,pretest,6/17/2019,09:53,right,0,2075.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,9,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,right,left,pretest,6/17/2019,09:53,left,0,2084.104,1,01/05/15,English,,,female,Pre,PO,NonPred
PnCnWQzKPxQeSD1QGec5OAPEt,10,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,right,left,pretest,6/17/2019,09:53,left,0,1540.104,1,01/05/15,English,,,female,Pre,PO,NonPred
