subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
bBPMw1pXg2xQcbdNO95whISwF,1,4fillerpost2,The_prince_will_move_the_blanket_to_the_sofa,Can_you_move_the_blanket_to_the_sofa?,right,left,posttest_filler,10/31/2019,10:57,right,1,1834.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,2,3fillerpost2,Dora_the_explorer_will_put_the_food_in_the_basket,Can_you_put_the_food_in_the_basket?,left,right,posttest_filler,10/31/2019,10:57,left,1,1767.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,3,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,left,right,pretest,10/31/2019,10:57,right,0,1578.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,4,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,10/31/2019,10:57,left,1,3302.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,5,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,left,right,pretest,10/31/2019,10:57,right,0,2765.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,6,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,10/31/2019,10:57,left,1,1882.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,7,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,right,left,pretest,10/31/2019,10:57,left,0,2282.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,8,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,right,left,pretest_filler,10/31/2019,10:57,right,1,2196.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,9,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,right,left,pretest_filler,10/31/2019,10:57,right,1,626.135,1,2015-08-29,English,,,female,Post,DO,NonPred
bBPMw1pXg2xQcbdNO95whISwF,10,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,right,left,pretest,10/31/2019,10:57,right,1,2963.135,1,2015-08-29,English,,,female,Post,DO,NonPred
