subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
kS7hiMfISjB4Le7mAvmM2ifmU,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,7/18/2019,10:50,right,1,2515.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,7/18/2019,10:50,left,1,3642.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,3,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,7/18/2019,10:50,right,0,2556.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,4,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,left,right,pretest,7/18/2019,10:50,right,0,2854.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,5,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,right,left,pretest,7/18/2019,10:50,left,0,1050.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,6,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,7/18/2019,10:50,left,0,2406.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,7,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,left,right,pretest_filler,7/18/2019,10:50,right,0,1823.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,8,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,right,left,pretest_filler,7/18/2019,10:50,right,1,2715.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,9,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,7/18/2019,10:50,right,0,1892.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
kS7hiMfISjB4Le7mAvmM2ifmU,10,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,right,left,pretest,7/18/2019,10:50,right,1,1343.104,1,20/04/15,English/ German,,,female,Pre,PO,NonPred
