subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
lTVByPLGfzAMn9tMylXQeom5w,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,7/1/2019,12:50,right,1,2243.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,7/1/2019,12:50,left,1,2052.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,3,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,right,left,pretest,7/1/2019,12:50,right,1,2601.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,4,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,right,left,pretest_filler,7/1/2019,12:50,left,0,5481.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,5,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,7/1/2019,12:50,left,1,4133.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,6,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,left,right,pretest,7/1/2019,12:50,left,1,2311.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,7,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,7/1/2019,12:50,left,0,3134.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,8,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,left,right,pretest,7/1/2019,12:50,right,0,4131.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,9,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,right,left,pretest_filler,7/1/2019,12:50,right,1,2646.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
lTVByPLGfzAMn9tMylXQeom5w,10,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,left,right,pretest,7/1/2019,12:50,right,0,1908.104,1,02/03/2015,English,,,female,Pre,DO,NonPred
