subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,06/10/2019,11:21,right,1,4273.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,06/10/2019,11:21,left,1,2521.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,3,2post2,The_girl_will_bring_the_horse_an_ice_cream,Can_you_bring_the_horse_the_ice_cream?,left,right,posttest,06/10/2019,11:21,right,0,3080.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,4,2fillerpost2,Boots_will_clean_the_chair_with_the_sponge,Can_you_clean_the_chair_with_the_sponge?,right,left,posttest_filler,06/10/2019,11:21,left,0,4039.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,5,4Post2,The_princess_will_send_the_lion_a_crocodile,Can_you_send_the_lion_the_crocodile?,left,right,posttest,06/10/2019,11:21,right,0,3766.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,6,3post2,Boots_will_throw_the_giraffe_a_balloon,Can_you_throw_the_giraffe_the_balloon?,right,left,posttest,06/10/2019,11:21,left,0,2826.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,7,1fillerpost2,The_princess_will_tickle_the_teddy_bear_with_the_feather,Can_you_tickle_the_teddy_bear_with_the_feather?,left,right,posttest_filler,06/10/2019,11:21,right,0,3578.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,8,6post2,Dora_the_explorer_will_throw_the_puppy_a_hamster,Can_you_throw_puppy_the_hamster?,right,left,posttest,06/10/2019,11:21,right,1,4664.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,9,5post2,The_prince_will_bring_the_turtle_a_cat,Can_you_bring_the_turtle_the_cat?,right,left,posttest,06/10/2019,11:21,left,0,2471.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
ls4zgdQsgZ4Ay2nkrzQkj5Wo0,10,1Post2,The_boy_will_send_the_tiger_a_present,Can_you_send_the_tiger_the_present?,left,right,posttest,06/10/2019,11:21,right,0,2177.104,1,04/01/2015,Flemish,English,,female,Post,PO,Pred
