subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
q78u5uKQZUnhhEAPWrnlX9KtM,1,4fillerpost2,The_prince_will_move_the_blanket_to_the_sofa,Can_you_move_the_blanket_to_the_sofa?,right,left,posttest_filler,6/14/2019,09:46,right,1,2117.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,2,3fillerpost2,Dora_the_explorer_will_put_the_food_in_the_basket,Can_you_put_the_food_in_the_basket?,left,right,posttest_filler,6/14/2019,09:46,left,1,1885.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,3,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,left,right,pretest,6/14/2019,09:46,right,0,2054.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,4,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,left,right,pretest,6/14/2019,09:46,right,0,3071.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,5,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,right,left,pretest,6/14/2019,09:46,right,1,3745.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,6,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,right,left,pretest_filler,6/14/2019,09:46,right,1,2540.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,7,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,6/14/2019,09:46,right,0,4231.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,8,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,right,left,pretest,6/14/2019,09:46,left,0,1990.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,9,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,6/14/2019,09:46,left,0,3255.135,1,05/03/2015,English,,,male,Post,PO,Pred
q78u5uKQZUnhhEAPWrnlX9KtM,10,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,left,right,pretest_filler,6/14/2019,09:46,left,1,2381.135,1,05/03/2015,English,,,male,Post,PO,Pred
